City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Hami,CN,42.8,93.45,34.97,41,47,1.45,scattered clouds
154,Koslan,RU,63.46,48.9,4.5,88,100,5.21,overcast clouds
155,Deputatskiy,RU,69.3,139.9,-26.93,91,100,1.52,overcast clouds
156,Haines Junction,CA,60.75,-137.51,-40.05,67,57,1.14,broken clouds
157,Liancheng,CN,24.05,105.08,58.05,70,99,4.36,overcast clouds
158,Ust-Kuyga,RU,70.02,135.6,-22.22,97,100,4.72,overcast clouds
159,Adrar,MR,20.5,-10.07,59.05,26,100,11.45,overcast clouds
160,Bengkulu,ID,-3.8,102.27,77.74,86,100,9.73,light rain
161,Bethel,US,41.37,-73.41,41.56,57,1,3.0,clear sky
162,Karnobat,BG,42.65,26.98,46.54,94,100,2.62,overcast clouds
163,Cherskiy,RU,68.75,161.3,-40.76,100,96,4.65,overcast clouds
164,Osakarovka,KZ,50.56,72.57,22.41,86,99,5.66,overcast clouds
165,Roebourne,AU,-20.78,117.13,104.86,21,8,24.94,clear sky
166,Viedma,AR,-40.81,-63.0,53.78,74,0,10.38,clear sky
167,Aksarka,RU,66.56,67.8,-25.8,99,43,7.25,scattered clouds
168,Thompson,CA,55.74,-97.86,-12.84,77,75,5.75,broken clouds
169,Kahului,US,20.89,-156.47,71.62,68,40,11.5,scattered clouds
170,Honghu,CN,29.82,113.46,63.82,23,0,2.3,clear sky
171,Mehamn,NO,71.04,27.85,19.13,85,71,21.63,broken clouds
172,Arona,ES,28.1,-16.68,61.79,49,20,21.85,few clouds
173,Daru,PG,-9.08,143.21,83.39,74,100,9.6,overcast clouds
174,Berck,FR,50.4,1.6,42.51,93,90,17.27,overcast clouds
175,Yellowknife,CA,62.46,-114.35,-19.68,69,75,6.91,light snow
176,Kruisfontein,ZA,-34.0,24.73,64.29,96,100,6.2,light rain
177,Ylivieska,FI,64.08,24.55,9.32,97,13,3.29,few clouds
178,Tiksi,RU,71.69,128.87,-14.8,94,100,0.02,overcast clouds
179,Ziro,IN,27.63,93.83,63.34,42,3,3.65,clear sky
180,Ipanema,BR,-30.14,-51.22,70.65,90,0,6.91,clear sky
181,Tres Palos,MX,18.18,-101.62,70.3,82,15,2.35,few clouds
182,Panguipulli,CL,-39.63,-72.33,42.51,80,0,2.95,clear sky
183,Baft,IR,29.23,56.61,54.66,12,3,5.73,clear sky
184,Qaanaaq,GL,77.48,-69.36,9.36,68,93,7.38,overcast clouds
185,Pozo Colorado,PY,-23.49,-58.8,76.91,55,73,6.78,broken clouds
186,Jiwani,PK,25.05,61.74,77.05,57,2,11.14,clear sky
187,Issenye,TZ,-2.0,34.33,83.41,36,67,8.72,broken clouds
188,Morro Bay,US,35.37,-120.85,53.91,89,0,7.16,clear sky
189,Nyurba,RU,63.28,118.33,-1.75,92,100,8.72,overcast clouds
190,Gat,IL,31.61,34.76,67.91,40,3,13.31,clear sky
191,Arlit,NE,18.74,7.39,73.4,16,100,5.19,overcast clouds
192,Esso,RU,55.93,158.7,7.79,88,80,14.12,broken clouds
193,Severo-Kurilsk,RU,50.68,156.12,28.49,82,85,18.61,light snow
194,Norman Wells,CA,65.28,-126.83,-39.96,67,20,4.61,few clouds
195,Espanola,US,35.99,-106.08,47.64,41,0,3.89,clear sky
196,Safford,US,32.83,-109.71,45.52,53,1,0.0,clear sky
197,Beringovskiy,RU,63.05,179.32,30.92,99,100,5.39,light snow
198,Atbasar,KZ,51.8,68.33,25.65,88,100,4.12,overcast clouds
199,Los Llanos De Aridane,ES,28.66,-17.92,62.35,63,40,11.99,scattered clouds
200,Raudeberg,NO,61.99,5.14,36.27,92,100,1.99,light snow
201,Peterhead,GB,57.51,-1.8,42.12,64,100,27.83,overcast clouds
202,Vostok,RU,46.49,135.88,8.56,93,8,5.75,clear sky
203,Bubaque,GW,11.28,-15.83,80.04,70,81,10.07,broken clouds
204,Nemuro,JP,43.32,145.57,32.43,46,3,9.13,clear sky
205,Salalah,OM,17.02,54.09,84.29,30,0,17.27,clear sky
206,Neiafu,TO,-18.65,-173.98,80.02,81,92,10.85,light rain
207,Vangaindrano,MG,-23.35,47.6,87.84,55,0,11.23,clear sky
208,Urumqi,CN,43.8,87.6,23.95,63,91,4.47,smoke
209,Salvador,SV,13.83,-88.92,73.8,93,4,3.8,clear sky
210,Cidreira,BR,-30.18,-50.21,69.62,88,91,13.78,overcast clouds
211,Port Hedland,AU,-20.32,118.57,100.45,30,9,21.85,clear sky
212,Alofi,NU,-19.06,-169.92,78.69,89,100,8.05,light rain
213,Omboue,GA,-1.57,9.26,82.8,76,66,8.28,light rain
214,Dzilam Gonzalez,MX,21.28,-88.93,64.94,94,3,3.6,clear sky
215,Labuhan,ID,-6.88,112.21,84.9,69,99,12.28,moderate rain
216,Semnan,IR,35.57,53.4,49.1,36,3,2.51,clear sky
217,Laguna,US,38.42,-121.42,52.3,95,90,0.0,mist
218,Russell,US,32.35,-85.2,61.83,93,20,0.0,mist
219,Banda Aceh,ID,5.56,95.32,84.34,69,73,14.88,light rain
220,Nouakchott,MR,18.09,-15.98,67.93,29,100,11.41,overcast clouds
221,Vanavara,RU,60.34,102.28,4.39,90,100,8.05,overcast clouds
222,Canico,PT,32.63,-16.85,65.48,73,75,1.99,broken clouds
223,Cumana,VE,10.46,-64.18,66.29,81,59,7.54,broken clouds
224,Bilma,NE,18.69,12.92,64.56,19,4,14.83,clear sky
225,Saint George,US,37.1,-113.58,51.53,45,1,3.44,clear sky
226,Kilindoni,TZ,-7.91,39.67,79.83,77,64,3.58,light rain
227,Oistins,BB,13.07,-59.53,78.89,78,40,24.16,scattered clouds
228,Arrecife,ES,28.96,-13.55,64.47,77,40,11.5,scattered clouds
229,Bornem,BE,51.1,4.24,40.01,94,75,8.05,light rain
230,Cockburn Town,TC,21.46,-71.14,79.79,75,13,20.31,few clouds
231,Klaksvik,FO,62.23,-6.59,36.52,57,97,16.75,overcast clouds
232,Dingle,PH,11.0,122.67,78.48,81,80,13.44,broken clouds
233,Alassio,IT,44.0,8.17,51.48,67,0,0.0,clear sky
234,Yining,CN,29.04,114.56,63.12,35,0,0.81,clear sky
235,Asfi,MA,32.3,-9.24,54.7,87,24,17.02,few clouds
236,San Patricio,US,28.02,-97.52,73.89,93,26,7.49,scattered clouds
237,Arraial Do Cabo,BR,-22.97,-42.03,71.96,83,10,11.86,clear sky
238,Oksovskiy,RU,62.61,39.9,4.14,82,37,6.6,scattered clouds
239,Sakakah,SA,29.97,40.21,69.37,26,94,11.83,overcast clouds
240,Sorland,NO,67.67,12.69,27.75,63,25,11.79,scattered clouds
241,Half Moon Bay,US,37.46,-122.43,54.3,91,90,3.44,overcast clouds
242,Bastrop,US,32.76,-91.87,59.83,95,43,1.01,scattered clouds
243,Tautira,PF,-17.73,-149.15,78.01,72,65,13.38,broken clouds
244,Flinders,AU,-34.58,150.86,64.38,67,57,7.52,broken clouds
245,Veraval,IN,20.9,70.37,81.41,53,0,5.39,clear sky
246,Pacific Grove,US,36.62,-121.92,53.96,91,1,1.01,clear sky
247,Awjilah,LY,29.11,21.29,61.93,57,0,9.71,clear sky
248,Sobolevo,RU,54.43,31.9,27.3,95,100,6.2,overcast clouds
249,Araouane,ML,18.9,-3.53,61.07,21,16,12.46,few clouds
250,Bridlington,GB,54.08,-0.19,45.28,84,87,23.71,overcast clouds
251,Bernay,FR,49.17,0.67,43.84,90,99,11.01,overcast clouds
252,Upernavik,GL,72.79,-56.15,22.77,80,100,9.15,overcast clouds
253,Innisfail,AU,-17.53,146.03,81.84,65,0,8.95,clear sky
254,Bredasdorp,ZA,-34.53,20.04,62.28,92,100,12.68,light rain
255,Ambon,ID,-3.7,128.18,84.34,74,75,6.91,broken clouds
256,Taltal,CL,-25.4,-70.48,61.72,77,48,1.1,scattered clouds
257,Gusev,RU,54.59,22.2,30.31,90,99,6.22,overcast clouds
258,Nieves,PH,15.33,120.95,80.17,61,67,11.32,broken clouds
259,Gryazovets,RU,58.88,40.25,-1.59,95,74,3.42,broken clouds
260,West Bay,KY,19.37,-81.42,80.01,78,100,4.0,overcast clouds
261,Carbonear,CA,47.73,-53.21,30.61,51,66,14.36,broken clouds
262,North Bend,US,43.41,-124.22,51.93,97,90,6.91,mist
263,Seoul,KR,37.57,126.98,47.77,29,0,2.3,clear sky
264,Port Macquarie,AU,-31.43,152.92,67.96,77,100,10.42,overcast clouds
265,Kontagora,NG,10.4,5.47,81.14,21,84,9.37,broken clouds
266,Havelock,US,34.88,-76.9,53.58,91,100,3.0,overcast clouds
267,Husavik,IS,66.04,-17.34,15.71,72,76,17.34,broken clouds
268,High Prairie,CA,55.43,-116.49,-6.5,88,100,8.16,overcast clouds
269,Tafresh,IR,34.69,50.01,34.52,24,100,2.89,overcast clouds
270,Skegness,GB,53.14,0.34,44.35,86,38,22.68,scattered clouds
271,Alice Springs,AU,-23.7,133.88,83.75,26,54,21.85,broken clouds
272,Hambantota,LK,6.12,81.12,89.94,70,75,3.44,broken clouds
273,Sovetskiy,RU,61.36,63.58,0.55,93,100,7.11,overcast clouds
274,Altay,CN,47.87,88.12,30.54,62,88,5.06,overcast clouds
