City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Severo-Kurilsk,RU,2021-12-04 02:20:53,50.6789,156.125,38.46,97,100,14.74
215,Honiara,SB,2021-12-04 02:20:53,-9.4333,159.95,84.63,75,100,3.47
216,Puerto El Triunfo,SV,2021-12-04 02:20:54,13.2833,-88.55,78.96,68,100,5.82
217,Altamira,BR,2021-12-04 02:20:54,-3.2033,-52.2064,74.34,96,100,2.44
218,Mogadishu,SO,2021-12-04 02:20:55,2.0371,45.3438,79.07,74,14,12.1
219,Taiyuan,CN,2021-12-04 02:20:15,37.8694,112.5603,33.66,40,0,0.0
220,Okhotsk,RU,2021-12-04 02:20:55,59.3833,143.3,-16.83,88,46,16.55
221,Vung Tau,VN,2021-12-04 02:20:56,10.346,107.0843,75.13,82,99,5.37
222,Gannan,CN,2021-12-04 02:20:56,47.9147,123.5031,12.09,65,22,9.31
223,Zhigansk,RU,2021-12-04 02:20:57,66.7697,123.3711,-23.67,89,100,21.21
224,Kimbe,PG,2021-12-04 02:20:57,-5.5502,150.1429,86.79,68,99,3.44
225,Talaya,RU,2021-12-04 02:20:57,61.3833,152.75,-23.8,97,100,1.63
226,Hasaki,JP,2021-12-04 02:20:58,35.7333,140.8333,59.29,52,0,4.97
227,Tolaga Bay,NZ,2021-12-04 02:20:58,-38.3667,178.3,67.05,77,100,16.02
228,Zharkent,KZ,2021-12-04 02:20:59,44.1628,80.0,36.3,45,97,2.8
229,Bredasdorp,ZA,2021-12-04 02:20:59,-34.5322,20.0403,57.27,76,100,6.6
230,Lashio,MM,2021-12-04 02:21:00,22.9333,97.75,62.04,76,88,0.6
231,Kahului,US,2021-12-04 02:21:00,20.8947,-156.47,73.42,91,90,21.85
232,Iqaluit,CA,2021-12-04 02:19:51,63.7506,-68.5145,1.13,77,40,15.01
233,Shingu,JP,2021-12-04 02:21:01,33.7333,135.9833,52.79,51,3,12.93
234,Liverpool,GB,2021-12-04 02:21:01,53.4106,-2.9779,45.68,89,75,1.01
235,Lusambo,CD,2021-12-04 02:21:02,-4.9667,23.45,70.03,96,100,1.72
236,Aktau,KZ,2021-12-04 02:21:02,43.65,51.2,36.18,73,99,19.77
237,Tabou,CI,2021-12-04 02:21:03,4.423,-7.3528,78.75,86,98,6.8
238,Asau,RO,2021-12-04 02:21:03,46.4333,26.4,34.75,79,100,0.94
239,Irtyshskiy,RU,2021-12-04 02:21:03,58.3333,68.1333,21.65,92,100,9.44
240,Boende,CD,2021-12-04 02:21:04,-0.2167,20.8667,70.09,96,100,2.48
241,Makakilo City,US,2021-12-04 02:21:04,21.3469,-158.0858,73.29,66,75,11.5
242,Gediz,TR,2021-12-04 02:21:05,39.0417,29.41,48.07,76,99,6.51
243,Gornozavodsk,RU,2021-12-04 02:21:05,58.3758,58.3211,18.34,98,97,3.31
244,Diamantino,BR,2021-12-04 02:21:06,-14.4086,-56.4461,75.47,88,100,1.63
245,Leshukonskoye,RU,2021-12-04 02:21:06,64.8989,45.7622,-4.88,98,21,5.44
246,Charyshskoye,RU,2021-12-04 02:21:07,51.3978,83.5598,16.12,94,33,4.32
247,Lata,PT,2021-12-04 02:21:07,40.1629,-8.3327,51.82,88,100,2.28
248,Urubicha,BO,2021-12-04 02:21:07,-15.3833,-62.95,75.4,87,70,2.42
249,Broome,US,2021-12-04 02:21:08,42.2506,-75.833,33.55,72,90,1.01
250,Lorengau,PG,2021-12-04 02:21:08,-2.0226,147.2712,84.25,77,45,7.99
251,Inta,RU,2021-12-04 02:21:09,66.0317,60.1659,-23.49,96,14,3.47
